time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.0010979999999999983
time: 215.0, P0: 0.9821733951656854, P1: 0.015002589366402204, P2: 0.0028240154679119913, TI2: 0.0017486203022261853
time: 216.0, P0: 0.9821781482709616, P1: 0.014991712496869505, P2: 0.0028301392321683624, TI2: 0.0017499909612062289
time: 217.0, P0: 0.9821742021811194, P1: 0.015001438194313082, P2: 0.002824359624567092, TI2: 0.001748157443447265
time: 218.0, P0: 0.9821783625262563, P1: 0.014991961408855526, P2: 0.002829676064887672, TI2: 0.001749313538630869
time: 219.0, P0: 0.9821756128385035, P1: 0.014998849482383609, P2: 0.0028255376791125088, TI2: 0.0017479248406086243
time: 220.0, P0: 0.9821792549941739, P1: 0.01499059619886366, P2: 0.0028301488069619575, TI2: 0.001748893812787573
time: 221.0, P0: 0.98217705883291, P1: 0.014996169375045946, P2: 0.0028267717920436824, TI2: 0.0017477129591333099
time: 222.0, P0: 0.9821786981141585, P1: 0.014992656190717425, P2: 0.0028286456951236607, TI2: 0.0017479475809647445
time: 223.0, P0: 0.9821806537140769, P1: 0.0149883918967785, P2: 0.00283095438914412, TI2: 0.0017483006750667392
time: 224.0, P0: 0.9821744069366699, P1: 0.015003553491667454, P2: 0.002822039571662227, TI2: 0.0017456326349919058
